scenario,topology_model,node_count,controller_budget,trial,algorithm,avg_latency,runtime_ms,iterations_budget,iterations_to_converge,topology_seed,trial_seed,controllers
barabasi_albert_n20_k5,barabasi_albert,20,5,5,kmeans,4.55148300703112,24.761199951171875,1,1,2036,20711,n7;n3;n10;n16;n9
barabasi_albert_n20_k5,barabasi_albert,20,5,5,genetic,3.323020435783178,130.73770003393292,50,43,2036,20711,n1;n10;n2;n3;n4
barabasi_albert_n20_k5,barabasi_albert,20,5,5,bandit_rl,3.5441957516918863,409.8698999732733,300,5,2036,20711,n0;n14;n2;n5;n6
barabasi_albert_n50_k3,barabasi_albert,50,3,1,random,7.093822920524233,0.03169995034113526,1,1,3033,30194,n42;n6;n17
barabasi_albert_n50_k3,barabasi_albert,50,3,1,greedy_k_center,5.247703432221373,0.269399955868721,1,1,3033,30194,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,1,kmeans,6.212114601088409,20.921399991493672,1,1,3033,30194,n10;n33;n48
barabasi_albert_n50_k3,barabasi_albert,50,3,1,genetic,4.783888234695271,216.91590000409633,50,36,3033,30194,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,1,bandit_rl,5.015122732709166,2654.9319000332616,300,10,3033,30194,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,2,random,6.354397006767532,0.04050001734867692,1,1,3033,30325,n23;n5;n22
barabasi_albert_n50_k3,barabasi_albert,50,3,2,greedy_k_center,5.247703432221373,0.24399999529123306,1,1,3033,30325,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,2,kmeans,6.212114601088409,104.76869996637106,1,1,3033,30325,n10;n33;n48
barabasi_albert_n50_k3,barabasi_albert,50,3,2,genetic,4.783888234695271,225.74969998095185,50,28,3033,30325,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,2,bandit_rl,5.015122732709166,2753.964699979406,300,15,3033,30325,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,3,random,6.062836787069146,0.03090000245720148,1,1,3033,30456,n30;n41;n1
barabasi_albert_n50_k3,barabasi_albert,50,3,3,greedy_k_center,5.247703432221373,0.2595999976620078,1,1,3033,30456,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,3,kmeans,5.996160016774655,21.012799988966435,1,1,3033,30456,n48;n4;n43
barabasi_albert_n50_k3,barabasi_albert,50,3,3,genetic,4.783888234695271,229.6263999887742,50,25,3033,30456,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,3,bandit_rl,5.015122732709166,2887.1693999972194,300,13,3033,30456,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,4,random,6.65908757205592,0.036699988413602114,1,1,3033,30587,n33;n27;n38
barabasi_albert_n50_k3,barabasi_albert,50,3,4,greedy_k_center,5.247703432221373,0.6772000342607498,1,1,3033,30587,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,4,kmeans,6.212114601088409,25.08970000781119,1,1,3033,30587,n48;n10;n33
barabasi_albert_n50_k3,barabasi_albert,50,3,4,genetic,4.783888234695271,241.5902999928221,50,7,3033,30587,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,4,bandit_rl,5.015122732709166,2626.1291000409983,300,14,3033,30587,n0;n2;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,5,random,8.025526484359647,0.02929999027401209,1,1,3033,30718,n30;n28;n32
barabasi_albert_n50_k3,barabasi_albert,50,3,5,greedy_k_center,5.247703432221373,0.2508999896235764,1,1,3033,30718,n0;n36;n29
barabasi_albert_n50_k3,barabasi_albert,50,3,5,kmeans,6.212114601088409,20.088099990971386,1,1,3033,30718,n10;n33;n48
barabasi_albert_n50_k3,barabasi_albert,50,3,5,genetic,4.783888234695271,208.8518000091426,50,31,3033,30718,n0;n11;n4
barabasi_albert_n50_k3,barabasi_albert,50,3,5,bandit_rl,5.015122732709166,2718.0435999762267,300,5,3033,30718,n0;n2;n4
barabasi_albert_n50_k5,barabasi_albert,50,5,1,random,6.512991771907662,0.030800001695752144,1,1,4030,40201,n31;n45;n10;n41;n23
barabasi_albert_n50_k5,barabasi_albert,50,5,1,greedy_k_center,4.536691417976886,0.47400000039488077,1,1,4030,40201,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,1,kmeans,5.793439008166112,22.43770001223311,1,1,4030,40201,n3;n42;n7;n24;n49
barabasi_albert_n50_k5,barabasi_albert,50,5,1,genetic,3.764535490186593,273.0127000249922,50,28,4030,40201,n0;n2;n22;n3;n36
barabasi_albert_n50_k5,barabasi_albert,50,5,1,bandit_rl,4.216235507974963,2663.101200014353,300,60,4030,40201,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,2,random,6.335397522423694,0.02840004162862897,1,1,4030,40332,n18;n11;n32;n26;n41
barabasi_albert_n50_k5,barabasi_albert,50,5,2,greedy_k_center,4.536691417976886,0.4634999786503613,1,1,4030,40332,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,2,kmeans,5.99918997317445,22.296199982520193,1,1,4030,40332,n31;n24;n12;n41;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,2,genetic,3.6770472580362847,256.4876999822445,50,31,4030,40332,n0;n2;n21;n22;n3
barabasi_albert_n50_k5,barabasi_albert,50,5,2,bandit_rl,4.216235507974963,2572.717000031844,300,58,4030,40332,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,3,random,6.232796854613415,0.029099988751113415,1,1,4030,40463,n37;n36;n49;n8;n39
barabasi_albert_n50_k5,barabasi_albert,50,5,3,greedy_k_center,4.536691417976886,0.4545000265352428,1,1,4030,40463,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,3,kmeans,5.58165649063311,20.833700022194535,1,1,4030,40463,n12;n31;n28;n18;n24
barabasi_albert_n50_k5,barabasi_albert,50,5,3,genetic,3.753681106839449,299.3783999700099,50,31,4030,40463,n0;n18;n2;n21;n3
barabasi_albert_n50_k5,barabasi_albert,50,5,3,bandit_rl,4.216235507974963,2712.900799990166,300,58,4030,40463,n0;n2;n3;n4;n8
barabasi_albert_n50_k5,barabasi_albert,50,5,4,random,5.909113299578967,0.029500050004571676,1,1,4030,40594,n38;n25;n23;n32;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,4,greedy_k_center,4.536691417976886,0.4803999909199774,1,1,4030,40594,n2;n30;n19;n43;n28
barabasi_albert_n50_k5,barabasi_albert,50,5,4,kmeans,5.99918997317445,25.431199988815933,1,1,4030,40594,n28;n31;n24;n41;n12
