topology_model,node_count,controller_budget,algorithm,baseline_algorithm,trials_algorithm,trials_baseline,latency_gain_vs_baseline_mean,latency_gain_ci95_low,latency_gain_ci95_high,runtime_penalty_vs_baseline_mean,runtime_penalty_ci95_low,runtime_penalty_ci95_high,latency_cliffs_delta_alg_vs_baseline,latency_cliffs_magnitude,runtime_cliffs_delta_alg_vs_baseline,runtime_cliffs_magnitude
waxman,50,5,genetic,random,5,5,4.654882430352894,2.3610725174313467,7.896310211259376,208.40220000245608,203.77487300102075,212.11584650562145,-1.0,large,1.0,large
waxman,50,5,greedy_k_center,random,5,5,2.312013029703259,0.029666457980177086,5.563695887449754,0.311580000561662,0.29715850127104204,0.3290410026238533,-0.6,large,1.0,large
waxman,50,5,kmeans,random,5,5,1.2044482991897336,-2.002629175384952,4.729073061970205,18.68739999481477,17.735619991653948,19.642646498323302,-0.2,small,1.0,large
waxman,100,3,bandit_rl,random,5,5,2.0541277020396898,1.5933997288229556,2.577750644421645,9628.168139996706,9548.36837800045,9707.970805491786,-1.0,large,1.0,large
waxman,100,3,genetic,random,5,5,2.0622445018611835,1.594471833395307,2.5739601490601616,315.84423999884166,288.03764850235893,365.26558199599094,-1.0,large,1.0,large
waxman,100,3,greedy_k_center,random,5,5,0.40009072574082793,-0.060637247475906264,0.9237136681227831,0.4812599974684417,0.45111999483196996,0.517761501687346,-0.6,large,1.0,large
waxman,100,3,kmeans,random,5,5,0.11987601585976293,-0.34085195735697127,0.6434989582417181,18.322980002267286,16.77088650307269,20.48976549936924,-0.2,small,1.0,large
waxman,100,5,bandit_rl,random,5,5,0.9929057336194012,0.7333796528251566,1.291828804844745,10852.471440003137,10779.807479499723,10960.763840504806,-1.0,large,1.0,large
waxman,100,5,genetic,random,5,5,1.4880511255121904,1.240503060249131,1.789587587642883,415.62792000186164,405.3416394983651,428.712302504573,-1.0,large,1.0,large
waxman,100,5,greedy_k_center,random,5,5,-0.798181612160934,-1.0330145216337572,-0.5070652333198202,0.9356799972010776,0.8702564939449076,1.0018205002415925,1.0,large,1.0,large
waxman,100,5,kmeans,random,5,5,0.5248954279315257,0.29006251845870246,0.8160118067726394,21.22504000144545,20.666059502982534,22.014548497172655,-1.0,large,1.0,large
