topology_model,node_count,controller_budget,algorithm,avg_latency_mean,avg_latency_std,runtime_ms_mean,runtime_ms_std,iterations_budget_mean,iterations_to_converge_mean,latency_runtime_product,latency_gain_vs_random_pct,efficiency_score,efficiency_rank,is_pareto_optimal
barabasi_albert,50,3,random,6.839134154155294,0.7652479344647757,0.02604000037536025,0.0015582090019202557,1.0,1.0,0.17809105594134297,0.0,0.5,4,True
barabasi_albert,50,5,genetic,3.7250018383504675,0.0440220834971429,220.9620800014818,10.774749407407967,50.0,28.4,823.0841542112628,37.12339359024665,0.05119382919742856,1,True
barabasi_albert,50,5,bandit_rl,4.216235507974963,0.0,2157.785899998271,34.98504752632789,300.0,41.4,9097.733530180421,28.831557118596518,0.6116793976753869,5,False
barabasi_albert,50,5,greedy_k_center,4.536691417976886,0.0,0.42926000023726374,0.017596246922773975,1.0,1.0,1.9474201591571505,23.422383915666533,0.18462472201930386,2,True
barabasi_albert,50,5,kmeans,5.791026387156246,0.20877109771725522,19.356700000935234,1.3145006002452488,1.0,1.0,112.09516047368328,2.2496893545261925,0.4741771154912622,3,False
barabasi_albert,50,5,random,5.924304842528285,0.7554805897515788,0.03501999890431762,0.015044170809425498,1.0,1.0,0.2074691490941841,0.0,0.5,4,True
barabasi_albert,100,3,genetic,4.801812713758849,0.006475936972220149,316.016780002974,61.184542959146576,50.0,32.6,1517.4533919794137,29.960596862643886,0.01733452224554901,1,True
barabasi_albert,100,3,bandit_rl,4.997707560762858,0.06207539961675314,9114.466019993415,154.47107005443658,300.0,58.6,45551.43574043724,27.103267978797398,0.5347456203091268,5,False
barabasi_albert,100,3,greedy_k_center,5.0996951913333,0.0,0.4727599967736751,0.014896574039538545,1.0,1.0,2.4109318822014574,25.615672939515804,0.05285943990198368,2,True
barabasi_albert,100,3,random,6.855873263713981,0.7784063090038209,0.027920003049075603,0.0008814701177789993,1.0,1.0,0.19141600242697027,0.0,0.36432611195350484,3,True
barabasi_albert,100,3,kmeans,7.620798894767569,0.2174004465180497,18.26802000286989,0.3322955088488806,1.0,1.0,139.2169066474627,-11.157231203530307,0.5010006157154021,4,False
barabasi_albert,100,5,genetic,4.963616508330849,0.07309863419423299,400.8104199980153,6.866159581202827,50.0,38.0,1989.4692174131699,34.806399065068035,0.021525553677747663,1,True
barabasi_albert,100,5,bandit_rl,5.5525434538509,0.0,9309.402460002457,215.92186142277194,300.0,45.6,51690.8616885501,27.071259131992566,0.6111166357458464,5,False
barabasi_albert,100,5,greedy_k_center,5.926724339813768,0.0,0.8848800003761426,0.06755055065890896,1.0,1.0,5.244439836043701,22.15665718480351,0.1817615745599042,2,True
barabasi_albert,100,5,kmeans,6.936071044697455,0.4722294488623589,21.875080003519543,1.5833121590599653,1.0,1.0,151.7271090128522,8.899600324602273,0.3733288805569533,3,False
barabasi_albert,100,5,random,7.6136559986691115,0.8896667057693184,0.031699996907263994,0.003309837712033364,1.0,1.0,0.24135287161078278,0.0,0.5,4,True
waxman,20,3,genetic,3.0808676455944077,0.0,92.66913999745157,25.825827934456623,50.0,4.4,285.50135516320717,27.403173518192553,0.3193705353953749,1,True
waxman,20,3,bandit_rl,3.164394964947882,0.07930896350361206,145.0645600038115,4.384463175507739,300.0,27.0,459.04156326844105,25.43495579281708,0.5359122224305298,5,False
waxman,20,3,kmeans,4.003264558208601,0.0,17.299299998558126,2.0789353465828078,1.0,1.0,69.25367456604585,5.668033838250881,0.4561191041515328,2,True
waxman,20,3,greedy_k_center,4.206864579280658,0.0,0.08335999737028033,0.004152469259366683,1.0,1.0,0.3506842202659611,0.8704517601643276,0.48430536132393465,3,True
waxman,20,3,random,4.243804853324359,0.927199694753094,0.028919996111653745,0.0039776848953676424,1.0,1.0,0.12273081985675774,0.0,0.5,4,True
waxman,20,5,genetic,1.5469489881333156,0.011615759156296443,132.17544000362977,14.636128977882562,50.0,25.8,204.46866316969084,40.91470762690089,0.4560913070434806,2,True
